Standard Format: [2 digit author code][2 digit module code][1 digit set code][2 digit item code]

Author Code: [00]

Base Module [01]: {
	Blocks [0]: {
		Tier 1 Battery			[00-1000]
	Machines [0]: {
		Alloy Furnace		[00-2000]
		Furnace Generator	[01-2001]
		Tree Feller			[02-2002]
		Electric furnace	[03-2003]
		Growth Accelerator	[04-2004]
		Auto Farm			[05-2005]
		Auto Fisher			[06-2006]
		Bio Generator		[07-2007]
		Block Breaker		[08-2008]
		Grinder				[09-2009]
		Item Reformer		[10-2010]
		Mob Grinder			[12-2012]
		Quarry				[13-2013]
		Solar Panel			[14-2014]
		Ender Generator		[15-2015]
		Disenchanter		[16-2016]
		Teleporter			[17-2017]
		Chunk Loader		[18-2018]
		Spawner Controller	[19-2019]
		Super Piston		[20-2020]
		Super Sticky Piston	[21-2021]
		Turn Table			[22-2022]
		Wooden Liquid Tank	[22-2023]
		Hardened Liquid Tank	[22-2024]
		Pressurized Liquid Tank	[22-2025]
	}
	Misc [1]: {
		Spawner Mover			[03-2100]
		Spawner Mover (used)	[04-2101]
	}
	GUI [2]: {
		Alloy Furnace	[00-2200]
	}
}

Nuclear [03]: {
	Machines [0]: {
		Centrifuge				[00-3000]
		Control Rod				[01-3001]
		Fission Reactor			[02-3002]
		Reaction Rate Observer	[03-3003]
		Steam Turbine			[04-3004]
		Temperature Observer	[05-3005]
	}
	Resources [1]: {
		Uranium Cell 		[00-3100]
		Plutonium Cell 		[01-3101]
		Spent Fuel Cell 	[02-3102]	
	}
}

Gadgets [04]: {
	Machines [0]: {
		Charging Station	[00-4000]
		Tinker Table		[01-4001]
		XP Tank				[02-4002]
	}
	Click Tools [1]: {
		Iron Echolocator	[00-4100]
		Diamond Echolocater	[01-4101]
		SMG					[02-4102]
		Rifle				[03-4103]
		Pistol				[04-4104]
		Sniper				[05-4105]
	}
	Items [2]: {
		Titanium Pickaxe	[00-4200]
		Titanium Axe		[01-4201]
		Titanium Shovel		[02-4202]
		Titanium Sword		[03-4203]
		Titanium Trident	[04-4204]
		Titanium Helmet		[05-4205]
		Titanium Chestplate	[06-4206]
		Titanium Leggings	[07-4207]
		Titanium Boots		[08-4208]
		Portable Battery 	[09-4209|4217]
		Titanium Elytra 	[09-4218]
	}
	Upgrades [3]: {
		Base		[00-4300]
		Auto Smelt	[01-4301]
		Empowered	[02-4302]
		Magnetic	[03-4303]
		Trash		[04-4304]
		Smash		[05-4305]
		Damage			[06-4306]
		Attack Speed	[07-4307]
		Poison			[08-4308]
		Wither			[09-4309]
		Vampiric		[10-4310]
		Slowness		[11-4311]
		Glow			[12-4312]
		Weakness		[13-4313]
		Armor		[14-4314]
		Toughness	[15-4315]
		Health		[16-4316]
		KB Resist	[17-4317]
		Speed		[18-4318]
		Auto Eater	[19-4319]
		Flight		[20-4320]
		Antidote	[21-4321]
		Vision		[22-4322]
		Slowfall	[23-4323]
		Shield		[24-4324]
		True Invis	[25-4325]
		Water		[26-4326]
	}
	Gun Parts [04]: {
		Rodrel			[00-4400]
		Magazine		[01-4401]
		Stock			[02-4402]
		Trigger			[03-4403]
		Angled Grip		[04-4404]
		Vertical Grip	[05-4405]
		Sight			[06-4406]
		Scope			[07-4407]
		Super Charger	[08-4408]
		Cryo Unit		[09-4409]
		Fluid Actuator	[10-4410]
		Plamsa Pump		[11-4411]
		Bouncy Proj.	[12-4412]
	}
	Tool Sets [05]: {
		Copper Helmet		[00-4500]
		Copper Chestplate	[01-4501]
		Copper Leggings		[02-4502]
		Copper Boots		[03-4503]
		Tin Helmet		[04-4504]
		Tin Chestplate	[05-4505]
		Tin Leggings	[06-4506]
		Tin Boots		[07-4507]
		Steel Helmet		[08-4508]
		Steel Chestplate	[09-4509]
		Steel Leggings		[10-4510]
		Steel Boots			[11-4511]
		Structural Helmet		[12-4512]
		Structural Chestplate	[13-4513]
		Structural Leggings		[14-4514]
		Structural Boots		[15-4515]
		Conductive Sword		[16-4516]
		Conductive Pickaxe		[17-4517]
		Conductive Axe			[18-4518]
		Conductive Shovel		[19-4519]
		Crystal Sword		[20-4520]
		Crystal Pickaxe		[21-4521]
		Crystal Axe			[22-4522]
		Crystal Shovel		[23-4523]
	}
}

Assembly [05]: {
	Machines [0]: {
		Compressor		[00-5000]
		Decompresser	[01-5001]
		Stone Cutter	[02-5002]
		Dye Machine		[03-5003]
		Ender Hopper	[04-5004]
		Fast Hopper		[05-5005]
		Auto Jukebox	[06-5006]
		Unlimited Storage Unit [07-5007]
		Item Transmitter       [08-5008]
		Item Receiver          [09-5009]
		MSS Terminal           [10-5010]
		MSS Drive Bay          [11-5011]
	}
	Items [1] {
		Item Filter 			[00-5100]
		Disc End of the World	[01-5101]
		Disc Hyperspace			[02-5102]
		Disc Money for Nothing	[03-5103]
		Disc Wander				[04-5104]
		Disc Stranger Think		[05-5105]
		MSS Storage Drive		[06-5106]
	}
}
